date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-14 23:23:05,WhoisKyraB,,0,0,0,"I’m so bipolar most times and over exaggerate a lot but I know one thing for sure tho a change is coming I rather keep my problems to myself",,,,1238968925095899136,https://twitter.com/WhoisKyraB/status/1238968925095899136
2020-07-28 20:47:23,GamesRedDeer,,27,172,426,"PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? pic.twitter.com/45a6EF3ixr",,,,1288214494167158784,https://twitter.com/GamesRedDeer/status/1288214494167158784
2020-03-14 23:02:57,Emcantuu,iflorei,0,0,0,"Jajajajaajajajaja bien bipolar",,,,1238963859320340481,https://twitter.com/Emcantuu/status/1238963859320340481
2020-03-14 22:23:20,trashwangboys,EyelessSilas,0,0,0,"lmao ain’t no winning this in texas bc our weather is bipolar AF https://twitter.com/EyelessSilas/status/1238826217865961473 …",,,,1238953890822991872,https://twitter.com/trashwangboys/status/1238953890822991872
2020-03-14 22:06:17,MikeOxBigg_,,0,0,0,"I hate a lame ass bipolar hoe",,,,1238949598426693633,https://twitter.com/MikeOxBigg_/status/1238949598426693633
2020-03-14 21:49:48,T_finley94,,1,0,1,"I had a crush on raven...that proves I like dark girls who are bipolar,mean,and have daddy issues https://twitter.com/NyaaSoyy/status/1238696368736292864 …pic.twitter.com/jZYEO2dYPN",,,,1238945449299623939,https://twitter.com/T_finley94/status/1238945449299623939
2020-03-14 21:10:39,TyeeAnn,,0,0,0,"The bipolar is real",,,,1238935599278587909,https://twitter.com/TyeeAnn/status/1238935599278587909
2020-03-14 21:08:41,dr00lmunky,,0,0,0,"My BF says I share too much information with others. Maybe if I felt like I was heard and my thoughts and opinions validated, then I wouldn't have to act this way.. it's just me tho.. I'm bipolar.",,,,1238935101007958018,https://twitter.com/dr00lmunky/status/1238935101007958018
2020-03-14 20:32:23,Takka_Jordan,,0,0,0,"Dear Texas, while we are trying to figure out a cure for CoVid 19 can we also figure out a cure for this Bipolar ass weather too? I'm asking for myself.",,,,1238925967910993922,https://twitter.com/Takka_Jordan/status/1238925967910993922
2020-03-14 19:34:46,ECBlueDevil1,realDonaldTrump,0,0,0,"March 13, 2020, President Donald Trump declined to take responsibility for shortages in tests for the novel coronavirus in a Friday news conference at the White House. #BiPolar #Schizophrenia #NeverMindhttps://twitter.com/realDonaldTrump/status/398887965302091776 …",,,#BiPolar #Schizophrenia #NeverMindhttps,1238911467212111880,https://twitter.com/ECBlueDevil1/status/1238911467212111880
2020-03-14 19:27:42,gianpadano,littlestbee,1,0,1,"To be fully honest: I think I’m a bipolar introvert. Not always fun.",,,,1238909689997471746,https://twitter.com/gianpadano/status/1238909689997471746
